variant,agent_type,seeds,end_time,n_agents,pnl_mean,pnl_std,reward_mean,reward_std,sharpe,win_rate,active_window_min_mean,max_drawdown_mean,param_starting_cash,param_num_noise_agents,param_num_value_agents,param_num_momentum_agents,param_r_bar,param_kappa,param_kappa_oracle,param_lambda_a,param_sigma_s,param_fund_vol,param_megashock_lambda_a,param_megashock_mean,param_megashock_var,param_mm_window_size,param_mm_pov,param_mm_num_ticks,param_mm_wake_up_freq,param_mm_min_order_size,param_mm_skew_beta,param_mm_price_skew,param_mm_level_spacing,param_mm_spread_alpha,param_mm_backstop_quantity,param_mm_cancel_limit_delay
liquidity_shift,NOISE,5,16:00:00,6000,220.57066666666665,35177.435632888395,2.2057066666666673e-05,0.0035177435632888394,0.006270231547533521,0.4088333333333333,0.9490565891427917,1.0056801033526632e-05,10000000,1200,120,20,100000,1.67e-15,1.67e-16,5.7e-12,0,8e-05,2.77778e-18,1000,50000,adaptive,0.04,12,30S,1,0,4,5,0.75,0,50
liquidity_shift,VALUE,5,16:00:00,600,875620.8633333333,399355.62837437843,0.08756208633333333,0.03993556283743784,2.19258425603677,0.965,382.7773474086918,0.02942754214819763,10000000,1200,120,20,100000,1.67e-15,1.67e-16,5.7e-12,0,8e-05,2.77778e-18,1000,50000,adaptive,0.04,12,30S,1,0,4,5,0.75,0,50
liquidity_shift,MOMENTUM,5,16:00:00,100,-5045987.79,1168296.6789567734,-0.504598779,0.11682966789567732,-4.319097949080706,0.0,357.583298084048,0.5314875932848668,10000000,1200,120,20,100000,1.67e-15,1.67e-16,5.7e-12,0,8e-05,2.77778e-18,1000,50000,adaptive,0.04,12,30S,1,0,4,5,0.75,0,50
liquidity_shift,MARKET_MAKER,5,16:00:00,10,-2209716.3,2322686.1061489154,-0.22097162999999997,0.2322686106148915,-0.9513624308296127,0.0,271.99385314664335,0.25572158143043816,10000000,1200,120,20,100000,1.67e-15,1.67e-16,5.7e-12,0,8e-05,2.77778e-18,1000,50000,adaptive,0.04,12,30S,1,0,4,5,0.75,0,50
